,Performer,Song,Tag,Type
1421,Trace Adkins,All I Ask For Anymore,Reflection,Non-hits
1422,Trace Adkins,All I Ask For Anymore,Solitude,Non-hits
1423,Kellie Pickler,Didn't You Know How Much I Loved You,Breakup,Non-hits
1424,Kellie Pickler,Didn't You Know How Much I Loved You,Heartache,Non-hits
1425,Kellie Pickler,Didn't You Know How Much I Loved You,Regret,Non-hits
1426,Kelly Clarkson,All I Ever Wanted,Empowering,Non-hits
1427,Kelly Clarkson,All I Ever Wanted,Girls Night Out,Non-hits
1428,Kelly Clarkson,All I Ever Wanted,Motivation,Non-hits
1429,Theory Of A Deadman,All Or Nothing,Cool & Cocky,Non-hits
1430,Theory Of A Deadman,All Or Nothing,Guys Night Out,Non-hits
1431,Theory Of A Deadman,All Or Nothing,Jealousy,Non-hits
1432,Billy Currington,That's How Country Boys Roll,Guys Night Out,Non-hits
1433,Billy Currington,That's How Country Boys Roll,Hanging Out,Non-hits
1434,Billy Currington,That's How Country Boys Roll,The Great Outdoors,Non-hits
1435,Brad Paisley,American Saturday Night,Road Trip,Non-hits
1436,Brad Paisley,American Saturday Night,Summer,Non-hits
1437,Brad Paisley,American Saturday Night,The Great Outdoors,Non-hits
1438,Hoodie Allen Featuring Ed Sheeran,All About It,Empowering,Non-hits
1439,Hoodie Allen Featuring Ed Sheeran,All About It,Maverick,Non-hits
1440,Hoodie Allen Featuring Ed Sheeran,All About It,The Creative Side,Non-hits
1441,Fall Out Boy,I Don't Care,Empowering,Non-hits
1442,Fall Out Boy,I Don't Care,Guys Night Out,Non-hits
1443,Fall Out Boy,I Don't Care,Motivation,Non-hits
1444,Fall Out Boy,I Don't Care,Partying,Non-hits
1445,Carrie Underwood,Just A Dream,Reflection,Non-hits
1446,Carrie Underwood,Just A Dream,Regret,Non-hits
1447,Carrie Underwood,Just A Dream,Reminiscing,Non-hits
1448,Gavin Rossdale,Love Remains The Same,Affection/Fondness,Non-hits
1449,Gavin Rossdale,Love Remains The Same,Freedom,Non-hits
1450,Gavin Rossdale,Love Remains The Same,Reunion,Non-hits
1451,Gavin Rossdale,Love Remains The Same,In Love,Non-hits
1452,Gavin Rossdale,Love Remains The Same,New Love,Non-hits
1453,George Strait,River Of Love,Affection/Fondness,Non-hits
1454,George Strait,River Of Love,In Love,Non-hits
1455,George Strait,River Of Love,Picnic,Non-hits
1456,George Strait,River Of Love,Relaxation,Non-hits
1457,David Archuleta,Crush,In Love,Non-hits
1458,David Archuleta,Crush,New Love,Non-hits
1459,Jonas Brothers,Tonight,Girls Night Out,Non-hits
1460,Jonas Brothers,Tonight,Introspection,Non-hits
1461,Jonas Brothers,Tonight,New Love,Non-hits
1462,Jonas Brothers,Tonight,Empowering,Non-hits
1463,Jonas Brothers,Tonight,Heartache,Non-hits
1464,Jonas Brothers,Tonight,In Love,Non-hits
1465,Jonas Brothers,Tonight,Reflection,Non-hits
1466,George Strait,Twang,Club,Non-hits
1467,George Strait,Twang,Partying,Non-hits
1468,George Strait,Twang,Summer,Non-hits
1469,Rascal Flatts,Unstoppable,Affirmation,Non-hits
1470,Rascal Flatts,Unstoppable,Comfort,Non-hits
1471,Rascal Flatts,Unstoppable,Reflection,Non-hits
1472,Taylor Swift,Untouchable,Affection/Fondness,Non-hits
1473,Taylor Swift,Untouchable,New Love,Non-hits
1474,Mariah Carey Featuring Nicki Minaj,Up Out My Face,D-I-V-O-R-C-E,Non-hits
1475,Mariah Carey Featuring Nicki Minaj,Up Out My Face,Breakup,Non-hits
1476,Mariah Carey Featuring Nicki Minaj,Up Out My Face,Girls Night Out,Non-hits
1477,Crystal Bowersox,Up To The Mountain,Partying,Non-hits
1478,Crystal Bowersox,Up To The Mountain,Playful,Non-hits
1479,Crystal Bowersox,Up To The Mountain,Summer,Non-hits
1480,Owl City,Vanilla Twilight,Introspection,Non-hits
1481,Owl City,Vanilla Twilight,Rainy Day,Non-hits
1482,Owl City,Vanilla Twilight,Solitude,Non-hits
1483,Owl City,Vanilla Twilight,Stay in Bed,Non-hits
1484,Beyonce Featuring Lady Gaga,Video Phone,Girls Night Out,Non-hits
1485,Beyonce Featuring Lady Gaga,Video Phone,Partying,Non-hits
1486,Beyonce Featuring Lady Gaga,Video Phone,Seduction,Non-hits
1487,Beyonce Featuring Lady Gaga,Video Phone,Sex,Non-hits
1488,Chris Young,Voices,Introspection,Non-hits
1489,Chris Young,Voices,Reflection,Non-hits
1490,Chris Young,Voices,Reminiscing,Non-hits
1491,Prince And The Revolution,Purple Rain,Night Driving,Non-hits
1492,Prince And The Revolution,Purple Rain,Prom,Non-hits
1493,Prince And The Revolution,Purple Rain,Romance,Non-hits
1494,Prince And The Revolution,Raspberry Beret,Day Driving,Non-hits
1495,Prince And The Revolution,Raspberry Beret,Hanging Out,Non-hits
1496,Prince And The Revolution,Raspberry Beret,Partying,Non-hits
1497,Prince And The Revolution,Raspberry Beret,Playful,Non-hits
1498,Prince And The Revolution,Raspberry Beret,Road Trip,Non-hits
1499,Prince And The Revolution,Raspberry Beret,Summer,Non-hits
1500,Prince And The Revolution,Raspberry Beret,TGIF,Non-hits
1501,Prince And The Revolution,Raspberry Beret,The Creative Side,Non-hits
1502,Wham! Featuring George Michael,Careless Whisper,Feeling Blue,Non-hits
1503,Wham! Featuring George Michael,Careless Whisper,Heartache,Non-hits
1504,Wham! Featuring George Michael,Careless Whisper,In Love,Non-hits
1505,Wham! Featuring George Michael,Careless Whisper,Late Night,Non-hits
1506,Wham! Featuring George Michael,Careless Whisper,Romantic Evening,Non-hits
1507,Wham! Featuring George Michael,Careless Whisper,Seduction,Non-hits
1508,Wham! Featuring George Michael,Careless Whisper,Sex,Non-hits
1509,Wham! Featuring George Michael,Careless Whisper,Slow Dance,Non-hits
1510,Leona Lewis,Better In Time,In Love,Non-hits
1511,Leona Lewis,Better In Time,Empowering,Non-hits
1512,Leona Lewis,Better In Time,Girls Night Out,Non-hits
1513,Adele,Chasing Pavements,Introspection,Non-hits
1514,Adele,Chasing Pavements,Reflection,Non-hits
1515,Adele,Chasing Pavements,Solitude,Non-hits
1516,Adele,Chasing Pavements,In Love,Non-hits
1517,Adele,Chasing Pavements,Motivation,Non-hits
1518,Theory Of A Deadman,Bad Girlfriend,Cool & Cocky,Non-hits
1519,Theory Of A Deadman,Bad Girlfriend,Guys Night Out,Non-hits
1520,Theory Of A Deadman,Bad Girlfriend,Jealousy,Non-hits
1521,Brenda Lee,Rockin' Around The Christmas Tree,Christmas Party,Non-hits
1522,Brenda Lee,Rockin' Around The Christmas Tree,Holidays,Non-hits
1523,Brenda Lee,Rockin' Around The Christmas Tree,Family Gatherings,Non-hits
1524,Brenda Lee,Rockin' Around The Christmas Tree,Celebration,Non-hits
1525,Brenda Lee,Rockin' Around The Christmas Tree,Relaxation,Non-hits
1526,Brenda Lee,Rockin' Around The Christmas Tree,Winter,Non-hits
1527,Brenda Lee,Rockin' Around The Christmas Tree,Small Gathering,Non-hits
1528,Brenda Lee,Rockin' Around The Christmas Tree,Seduction,Non-hits
1529,Prince,1999,Club,Non-hits
1530,Prince,1999,Cool & Cocky,Non-hits
1531,Prince,1999,Empowering,Non-hits
1532,Prince,1999,Freedom,Non-hits
1533,Prince,1999,Late Night,Non-hits
1534,Prince,1999,Maverick,Non-hits
1535,Prince,1999,Partying,Non-hits
1536,Prince,1999,Sex,Non-hits
1537,Chris Young,The Man I Want To Be,Introspection,Non-hits
1538,Chris Young,The Man I Want To Be,Reflection,Non-hits
1539,Chris Young,The Man I Want To Be,Reminiscing,Non-hits
1540,Taylor Swift,The Other Side Of The Door,Affection/Fondness,Non-hits
1541,Taylor Swift,The Other Side Of The Door,Girls Night Out,Non-hits
1542,Jason Michael Carroll,Where I'm From,Cool & Cocky,Non-hits
1543,Jason Michael Carroll,Where I'm From,Hanging Out,Non-hits
1544,Jason Michael Carroll,Where I'm From,Politics/Society,Non-hits
1545,Miranda Lambert,White Liar,Breakup,Non-hits
1546,Miranda Lambert,White Liar,Girls Night Out,Non-hits
1547,Nick Jonas & The Administration,Who I Am,Reflection,Non-hits
1548,Nick Jonas & The Administration,Who I Am,Heartache,Non-hits
1549,Nick Jonas & The Administration,Who I Am,Solitude,Non-hits
1550,Josh Turner,Why Don't We Just Dance,Politics/Society,Non-hits
1551,Gloriana,Wild At Heart,Freedom,Non-hits
1552,Gloriana,Wild At Heart,Hanging Out,Non-hits
1553,Gloriana,Wild At Heart,Summer,Non-hits
1554,Susan Boyle,Wild Horses,Introspection,Non-hits
1555,Susan Boyle,Wild Horses,Reminiscing,Non-hits
1556,Susan Boyle,Wild Horses,Sunday Afternoon,Non-hits
1557,Susan Boyle,Wild Horses,Affection/Fondness,Non-hits
1558,Susan Boyle,Wild Horses,Rainy Day,Non-hits
1559,Susan Boyle,Wild Horses,Relaxation,Non-hits
1560,Hinder,Without You,Breakup,Non-hits
1561,Hinder,Without You,Heartache,Non-hits
1562,Hinder,Without You,In Love,Non-hits
1563,Hinder,Without You,Introspection,Non-hits
1564,Hinder,Without You,Reflection,Non-hits
1565,Hinder,Without You,Regret,Non-hits
1566,Hinder,Without You,Freedom,Non-hits
1567,Paul McCartney,Wonderful Christmastime,Christmas Party,Non-hits
1568,Paul McCartney,Wonderful Christmastime,Holidays,Non-hits
1569,Paul McCartney,Wonderful Christmastime,Playful,Non-hits
1570,Paul McCartney,Wonderful Christmastime,Winter,Non-hits
1571,Paul McCartney,Wonderful Christmastime,Celebration,Non-hits
1572,Bruce Springsteen,Working On A Dream,Day Driving,Non-hits
1573,Bruce Springsteen,Working On A Dream,Freedom,Non-hits
1574,Bruce Springsteen,Working On A Dream,Hanging Out,Non-hits
1575,Martina McBride,Wrong Baby Wrong,Breakup,Non-hits
1576,Martina McBride,Wrong Baby Wrong,Freedom,Non-hits
1577,Martina McBride,Wrong Baby Wrong,Girls Night Out,Non-hits
1578,Beyonce,XO,In Love,Non-hits
1579,Beyonce,XO,Playful,Non-hits
1580,Beyonce,XO,Romance,Non-hits
1581,K'Naan,Wavin' Flag,Revolutionary,Non-hits
1582,K'Naan,Wavin' Flag,Empowering,Non-hits
1583,K'Naan,Wavin' Flag,Motivation,Non-hits
1584,K'Naan,Wavin' Flag,Politics/Society,Non-hits
1585,K'Naan,Wavin' Flag,Freedom,Non-hits
1586,Bon Jovi,We Weren't Born To Follow,Exercise/Workout,Non-hits
1587,Bon Jovi,We Weren't Born To Follow,Freedom,Non-hits
1588,Bon Jovi,We Weren't Born To Follow,Motivation,Non-hits
1589,Brad Paisley,Welcome To The Future,Introspection,Non-hits
1590,Brad Paisley,Welcome To The Future,Reflection,Non-hits
1591,Brad Paisley,Welcome To The Future,Reminiscing,Non-hits
1592,Brad Paisley,Welcome To The Future,Road Trip,Non-hits
1593,Daughtry,What About Now,Breakup,Non-hits
1594,Daughtry,What About Now,Empowering,Non-hits
1595,Daughtry,What About Now,Hanging Out,Non-hits
1596,Daughtry,What About Now,Heartache,Non-hits
1597,Daughtry,What About Now,Loss/Grief,Non-hits
1598,Daughtry,What About Now,Reflection,Non-hits
1599,Daughtry,What About Now,Regret,Non-hits
1600,Russ,What They Want,Happiness,Non-hits
1601,Russ,What They Want,Mischievous,Non-hits
1602,Russ,What They Want,Sex,Non-hits
1603,Foo Fighters,Wheels,Comfort,Non-hits
1604,Foo Fighters,Wheels,Long Walk,Non-hits
1605,Foo Fighters,Wheels,Rainy Day,Non-hits
1606,Foo Fighters,Wheels,Reflection,Non-hits
1607,Miley Cyrus,When I Look At You,Affirmation,Non-hits
1608,Miley Cyrus,When I Look At You,Comfort,Non-hits
1609,Miley Cyrus,When I Look At You,Introspection,Non-hits
1610,Miley Cyrus,When I Look At You,Reflection,Non-hits
1611,Miley Cyrus,When I Look At You,Solitude,Non-hits
1612,David Guetta Featuring Kelly Rowland,When Love Takes Over,Club,Non-hits
1613,David Guetta Featuring Kelly Rowland,When Love Takes Over,Day Driving,Non-hits
1614,David Guetta Featuring Kelly Rowland,When Love Takes Over,Exercise/Workout,Non-hits
1615,David Guetta Featuring Kelly Rowland,When Love Takes Over,In Love,Non-hits
1616,David Guetta Featuring Kelly Rowland,When Love Takes Over,New Love,Non-hits
1617,Jason Aldean,The Truth,Breakup,Non-hits
1618,Fitz And The Tantrums,The Walker,Reminiscing,Non-hits
1619,Fitz And The Tantrums,The Walker,Early Morning,Non-hits
1620,Fitz And The Tantrums,The Walker,The Great Outdoors,Non-hits
1621,Rascal Flatts,Things That Matter,Feeling Blue,Non-hits
1622,Rascal Flatts,Things That Matter,Reflection,Non-hits
1623,Rascal Flatts,Things That Matter,Regret,Non-hits
1624,Rascal Flatts,Things That Matter,Reminiscing,Non-hits
1625,Chris Young Duet With Cassadee Pope,Think Of You,Girls Night Out,Non-hits
1626,Chris Young Duet With Cassadee Pope,Think Of You,Comfort,Non-hits
1627,Chris Young Duet With Cassadee Pope,Think Of You,Day Driving,Non-hits
1628,Chris Young Duet With Cassadee Pope,Think Of You,Exercise/Workout,Non-hits
1629,Chris Young Duet With Cassadee Pope,Think Of You,In Love,Non-hits
1630,Chris Young Duet With Cassadee Pope,Think Of You,New Love,Non-hits
1631,Chris Young Duet With Cassadee Pope,Think Of You,Summer,Non-hits
1632,Katy Perry,Thinking Of You,Girls Night Out,Non-hits
1633,Katy Perry,Thinking Of You,Mischievous,Non-hits
1634,Thirty Seconds To Mars,This Is War,Victory,Non-hits
1635,Thirty Seconds To Mars,This Is War,Introspection,Non-hits
1636,Thirty Seconds To Mars,This Is War,Motivation,Non-hits
1637,Thirty Seconds To Mars,This Is War,Politics/Society,Non-hits
1638,Adam Lambert,Time For Miracles,In Love,Non-hits
1639,Adam Lambert,Time For Miracles,Reflection,Non-hits
1640,Taylor Swift,Fifteen,Empowering,Non-hits
1641,Taylor Swift,Fifteen,Reflection,Non-hits
1642,Taylor Swift,Fifteen,School,Non-hits
1643,DJ Khaled Featuring Kanye West & T-Pain,Go Hard,Partying,Non-hits
1644,Taylor Swift,Fearless,Empowering,Non-hits
1645,Taylor Swift,Fearless,Motivation,Non-hits
1646,Taylor Swift,Fearless,Victory,Non-hits
1647,David Cook,Light On,Breakup,Non-hits
1648,David Cook,Light On,Feeling Blue,Non-hits
1649,Jonas Brothers,Lovebug,Girls Night Out,Non-hits
1650,Jonas Brothers,Lovebug,Affection/Fondness,Non-hits
1651,Jonas Brothers,Lovebug,Heartache,Non-hits
1652,Jonas Brothers,Lovebug,In Love,Non-hits
1653,Jonas Brothers,Lovebug,Introspection,Non-hits
1654,Jonas Brothers,Lovebug,New Love,Non-hits
1655,Jonas Brothers,Lovebug,Reflection,Non-hits
1656,Prince And The Revolution,I Would Die 4 U,Pain,Non-hits
1657,Prince And The Revolution,I Would Die 4 U,Peace,Non-hits
1658,Prince And The Revolution,I Would Die 4 U,Victory,Non-hits
1659,Whitney Houston,I Wanna Dance With Somebody (Who Loves Me),New Love,Non-hits
1660,Whitney Houston,I Wanna Dance With Somebody (Who Loves Me),In Love,Non-hits
1661,Whitney Houston,I Wanna Dance With Somebody (Who Loves Me),Girls Night Out,Non-hits
1662,Whitney Houston,I Wanna Dance With Somebody (Who Loves Me),Club,Non-hits
1663,Whitney Houston,I Wanna Dance With Somebody (Who Loves Me),Partying,Non-hits
1664,Whitney Houston,I Wanna Dance With Somebody (Who Loves Me),TGIF,Non-hits
1665,Whitney Houston,Greatest Love Of All,Birth,Non-hits
1666,Whitney Houston,Greatest Love Of All,New Love,Non-hits
1667,Whitney Houston,Greatest Love Of All,Affection/Fondness,Non-hits
1668,Whitney Houston,Greatest Love Of All,In Love,Non-hits
1669,Whitney Houston,Greatest Love Of All,Empowering,Non-hits
1670,Whitney Houston,Greatest Love Of All,Motivation,Non-hits
1671,Whitney Houston,Greatest Love Of All,Sunday Afternoon,Non-hits
1672,Prince And The Revolution,Let's Go Crazy,Empowering,Non-hits
1673,Prince And The Revolution,Let's Go Crazy,Freedom,Non-hits
1674,Prince And The Revolution,Let's Go Crazy,Late Night,Non-hits
1675,Prince And The Revolution,Let's Go Crazy,Partying,Non-hits
1676,Prince And The Revolution,Let's Go Crazy,Summer,Non-hits
1677,Prince And The Revolution,Let's Go Crazy,TGIF,Non-hits
1678,Prince And The Revolution,Let's Go Crazy,Cool & Cocky,Non-hits
1679,Prince And The Revolution,Let's Go Crazy,Motivation,Non-hits
1680,Bon Jovi,Livin' On A Prayer,Empowering,Non-hits
1681,Bon Jovi,Livin' On A Prayer,Freedom,Non-hits
1682,Bon Jovi,Livin' On A Prayer,Girls Night Out,Non-hits
1683,Bon Jovi,Livin' On A Prayer,Guys Night Out,Non-hits
1684,Bon Jovi,Livin' On A Prayer,Summer,Non-hits
1685,Prince,Little Red Corvette,Club,Non-hits
1686,Prince,Little Red Corvette,Cool & Cocky,Non-hits
1687,Prince,Little Red Corvette,Day Driving,Non-hits
1688,Prince,Little Red Corvette,Late Night,Non-hits
1689,Prince,Little Red Corvette,Maverick,Non-hits
1690,Prince,Little Red Corvette,Night Driving,Non-hits
1691,Prince,Little Red Corvette,Partying,Non-hits
1692,Prince,Little Red Corvette,Road Trip,Non-hits
1693,Whitney Houston,How Will I Know,New Love,Non-hits
1694,Whitney Houston,How Will I Know,In Love,Non-hits
1695,Whitney Houston,How Will I Know,Girls Night Out,Non-hits
1696,Whitney Houston,How Will I Know,Partying,Non-hits
1697,Whitney Houston,How Will I Know,TGIF,Non-hits
1698,Whitney Houston,I Will Always Love You,New Love,Non-hits
1699,Whitney Houston,I Will Always Love You,Affection/Fondness,Non-hits
1700,Whitney Houston,I Will Always Love You,In Love,Non-hits
1701,Whitney Houston,I Will Always Love You,Romantic Evening,Non-hits
1702,Whitney Houston,I Will Always Love You,Seduction,Non-hits
1703,Whitney Houston,I Will Always Love You,Slow Dance,Non-hits
1704,Whitney Houston,I Will Always Love You,Breakup,Non-hits
1705,Linkin Park,Numb,Empowering,Non-hits
1706,Linkin Park,Numb,Heartache,Non-hits
1707,Linkin Park,Numb,Introspection,Non-hits
1708,Linkin Park,Numb,Night Driving,Non-hits
1709,Linkin Park,Numb,Late Night,Non-hits
1710,Linkin Park,Numb,Regret,Non-hits
1711,Beyonce,Get Me Bodied,Club,Non-hits
1712,Beyonce,Get Me Bodied,Girls Night Out,Non-hits
1713,Beyonce,Get Me Bodied,Mischievous,Non-hits
1714,Beyonce,Get Me Bodied,Partying,Non-hits
1715,Beyonce,Get Me Bodied,Seduction,Non-hits
1716,Beyonce,Get Me Bodied,TGIF,Non-hits
1717,Coldplay With Jay-Z,Lost!,Affirmation,Non-hits
1718,Coldplay With Jay-Z,Lost!,Comfort,Non-hits
1719,Coldplay With Jay-Z,Lost!,Empowering,Non-hits
1720,Coldplay With Jay-Z,Lost!,Feeling Blue,Non-hits
1721,Coldplay With Jay-Z,Lost!,Hanging Out,Non-hits
1722,Coldplay With Jay-Z,Lost!,Introspection,Non-hits
1723,Coldplay With Jay-Z,Lost!,Long Walk,Non-hits
1724,Coldplay With Jay-Z,Lost!,Rainy Day,Non-hits
1725,Saving Abel,Addicted,Cool & Cocky,Non-hits
1726,Saving Abel,Addicted,Hanging Out,Non-hits
1727,Saving Abel,Addicted,Partying,Non-hits
1728,Saving Abel,Addicted,Guys Night Out,Non-hits
1729,Saving Abel,Addicted,In Love,Non-hits
1730,Saving Abel,Addicted,Sex,Non-hits
1731,Ne-Yo,Closer,Club,Non-hits
1732,Ne-Yo,Closer,Late Night,Non-hits
1733,Ne-Yo,Closer,Partying,Non-hits
1734,Ne-Yo,Closer,Seduction,Non-hits
1735,Ne-Yo,Closer,In Love,Non-hits
1736,Ne-Yo,Closer,Sex,Non-hits
1737,Jack Johnson,You And Your Heart,At the Beach,Non-hits
1738,Jack Johnson,You And Your Heart,Relaxation,Non-hits
1739,Jack Johnson,You And Your Heart,Long Walk,Non-hits
1740,Jack Johnson,You And Your Heart,Sunday Afternoon,Non-hits
1741,Taylor Swift,You Are In Love,In Love,Non-hits
1742,Keyshia Cole,You Complete Me,In Love,Non-hits
1743,Keyshia Cole,You Complete Me,Romantic Evening,Non-hits
1744,Daughtry,You Don't Belong,Breakup,Non-hits
1745,Daughtry,You Don't Belong,Heartache,Non-hits
1746,Daughtry,You Don't Belong,Reflection,Non-hits
1747,Daughtry,You Don't Belong,Regret,Non-hits
1748,Hannah Montana,You'll Always Find Your Way Back Home,Celebration,Non-hits
1749,Hannah Montana,You'll Always Find Your Way Back Home,Playful,Non-hits
1750,Hannah Montana,You'll Always Find Your Way Back Home,Freedom,Non-hits
1751,New Boyz,You're A Jerk,Cool & Cocky,Non-hits
1752,New Boyz,You're A Jerk,Mischievous,Non-hits
1753,New Boyz,You're A Jerk,Playful,Non-hits
1754,New Boyz,You're A Jerk,Summer,Non-hits
1755,Chris Young,You,Dinner Ambiance,Non-hits
1756,Chris Young,You,In Love,Non-hits
1757,Chris Young,You,Relaxation,Non-hits
1758,Chris Young,You,Romantic Evening,Non-hits
1759,Bad Wolves,Zombie,Loss/Grief,Non-hits
1760,Bad Wolves,Zombie,Pain,Non-hits
1761,Bad Wolves,Zombie,Tragedy,Non-hits
